DATE,THREEFY10
2013-01-11,1.8810
2013-01-14,1.8757
2013-01-15,1.8535
2013-01-16,1.8367
2013-01-17,1.8702
2013-01-18,1.8626
2013-01-21,.
2013-01-22,1.8511
2013-01-23,1.8441
2013-01-24,1.8572
2013-01-25,1.9380
2013-01-28,1.9752
2013-01-29,1.9998
2013-01-30,2.0032
2013-01-31,2.0049
2013-02-01,2.0219
2013-02-04,1.9975
2013-02-05,2.0198
2013-02-06,1.9984
2013-02-07,1.9821
2013-02-08,1.9828
2013-02-11,1.9874
2013-02-12,2.0090
2013-02-13,2.0474
2013-02-14,2.0184
2013-02-15,2.0173
2013-02-18,.
2013-02-19,2.0350
2013-02-20,2.0269
2013-02-21,2.0068
2013-02-22,1.9893
2013-02-25,1.9245
2013-02-26,1.9014
2013-02-27,1.9054
2013-02-28,1.8928
2013-03-01,1.8687
2013-03-04,1.8741
2013-03-05,1.8882
2013-03-06,1.9227
2013-03-07,1.9738
2013-03-08,2.0375
2013-03-11,2.0599
2013-03-12,2.0477
2013-03-13,2.0480
2013-03-14,2.0518
2013-03-15,2.0219
2013-03-18,1.9805
2013-03-19,1.9406
2013-03-20,1.9553
2013-03-21,1.9480
2013-03-22,1.9351
2013-03-25,1.9259
2013-03-26,1.9144
2013-03-27,1.8738
2013-03-28,1.8657
2013-03-29,.
2013-04-01,1.8520
2013-04-02,1.8653
2013-04-03,1.8279
2013-04-04,1.7832
2013-04-05,1.7387
2013-04-08,1.7447
2013-04-09,1.7485
2013-04-10,1.7864
2013-04-11,1.7858
2013-04-12,1.7436
2013-04-15,1.7161
2013-04-16,1.7269
2013-04-17,1.7178
2013-04-18,1.7075
2013-04-19,1.7112
2013-04-22,1.7040
2013-04-23,1.7087
2013-04-24,1.7045
2013-04-25,1.7122
2013-04-26,1.6868
2013-04-29,1.6759
2013-04-30,1.6765
2013-05-01,1.6497
2013-05-02,1.6405
2013-05-03,1.7172
2013-05-06,1.7554
2013-05-07,1.7820
2013-05-08,1.7833
2013-05-09,1.7851
2013-05-10,1.8488
2013-05-13,1.8840
2013-05-14,1.9215
2013-05-15,1.9279
2013-05-16,1.8831
2013-05-17,1.9250
2013-05-20,1.9473
2013-05-21,1.9383
2013-05-22,1.9997
2013-05-23,2.0223
2013-05-24,2.0242
2013-05-27,.
2013-05-28,2.1278
2013-05-29,2.1437
2013-05-30,2.1502
2013-05-31,2.1816
2013-06-03,2.1740
2013-06-04,2.1884
2013-06-05,2.1675
2013-06-06,2.1480
2013-06-07,2.2097
2013-06-10,2.2570
2013-06-11,2.2624
2013-06-12,2.2922
2013-06-13,2.2660
2013-06-14,2.2140
2013-06-17,2.2321
2013-06-18,2.2431
2013-06-19,2.3612
2013-06-20,2.4561
2013-06-21,2.5687
2013-06-24,2.6475
2013-06-25,2.6850
2013-06-26,2.6650
2013-06-27,2.6138
2013-06-28,2.6282
2013-07-01,2.6166
2013-07-02,2.6067
2013-07-03,2.6356
2013-07-04,.
2013-07-05,2.8007
2013-07-08,2.7869
2013-07-09,2.7834
2013-07-10,2.8148
2013-07-11,2.7418
2013-07-12,2.7354
2013-07-15,2.7051
2013-07-16,2.6817
2013-07-17,2.6469
2013-07-18,2.6644
2013-07-19,2.6338
2013-07-22,2.6229
2013-07-23,2.6344
2013-07-24,2.6951
2013-07-25,2.7094
2013-07-26,2.6981
2013-07-29,2.7161
2013-07-30,2.7339
2013-07-31,2.7303
2013-08-01,2.8313
2013-08-02,2.7725
2013-08-05,2.7822
2013-08-06,2.7889
2013-08-07,2.7617
2013-08-08,2.7410
2013-08-09,2.7305
2013-08-12,2.7464
2013-08-13,2.8305
2013-08-14,2.8523
2013-08-15,2.9017
2013-08-16,2.9693
2013-08-19,3.0200
2013-08-20,2.9945
2013-08-21,3.0381
2013-08-22,3.0819
2013-08-23,3.0437
2013-08-26,3.0023
2013-08-27,2.9359
2013-08-28,2.9603
2013-08-29,2.9423
2013-08-30,2.9615
2013-09-02,.
2013-09-03,3.0192
2013-09-04,3.0689
2013-09-05,3.1526
2013-09-06,3.1268
2013-09-09,3.0909
2013-09-10,3.1268
2013-09-11,3.0959
2013-09-12,3.0873
2013-09-13,3.0756
2013-09-16,3.0466
2013-09-17,3.0232
2013-09-18,2.8848
2013-09-19,2.8954
2013-09-20,2.8982
2013-09-23,2.8737
2013-09-24,2.8341
2013-09-25,2.7923
2013-09-26,2.7969
2013-09-27,2.7793
2013-09-30,2.7732
2013-10-01,2.7867
2013-10-02,2.7648
2013-10-03,2.7504
2013-10-04,2.7824
2013-10-07,2.7815
2013-10-08,2.7922
2013-10-09,2.7951
2013-10-10,2.8166
2013-10-11,2.8173
2013-10-14,.
2013-10-15,2.8483
2013-10-16,2.8163
2013-10-17,2.7554
2013-10-18,2.7366
2013-10-21,2.7517
2013-10-22,2.6924
2013-10-23,2.6587
2013-10-24,2.6616
2013-10-25,2.6513
2013-10-28,2.6528
2013-10-29,2.6431
2013-10-30,2.6545
2013-10-31,2.6701
2013-11-01,2.7307
2013-11-04,2.7394
2013-11-05,2.7812
2013-11-06,2.7730
2013-11-07,2.7452
2013-11-08,2.8401
2013-11-11,.
2013-11-12,2.8976
2013-11-13,2.8783
2013-11-14,2.8289
2013-11-15,2.8321
2013-11-18,2.8056
2013-11-19,2.8276
2013-11-20,2.8815
2013-11-21,2.8971
2013-11-22,2.8855
2013-11-25,2.8745
2013-11-26,2.8488
2013-11-27,2.8639
2013-11-28,.
2013-11-29,2.8789
2013-12-02,2.9264
2013-12-03,2.9210
2013-12-04,2.9673
2013-12-05,3.0096
2013-12-06,3.0251
2013-12-09,3.0219
2013-12-10,2.9815
2013-12-11,3.0005
2013-12-12,3.0382
2013-12-13,3.0425
2013-12-16,3.0488
2013-12-17,3.0224
2013-12-18,3.0411
2013-12-19,3.0953
2013-12-20,3.0970
2013-12-23,3.1228
2013-12-24,3.1698
2013-12-25,.
2013-12-26,3.1891
2013-12-27,3.1988
2013-12-30,3.1814
2013-12-31,3.2147
2014-01-01,.
2014-01-02,3.1978
2014-01-03,3.2039
2014-01-06,3.1791
2014-01-07,3.1561
2014-01-08,3.1966
2014-01-09,3.1793
2014-01-10,3.0928
2014-01-13,3.0436
2014-01-14,3.0612
2014-01-15,3.0793
2014-01-16,3.0568
2014-01-17,3.0348
2014-01-20,.
2014-01-21,3.0374
2014-01-22,3.0629
2014-01-23,3.0032
2014-01-24,2.9594
2014-01-27,2.9668
2014-01-28,2.9552
2014-01-29,2.9004
2014-01-30,2.9037
2014-01-31,2.8679
2014-02-03,2.8106
2014-02-04,2.8127
2014-02-05,2.8482
2014-02-06,2.8792
2014-02-07,2.8671
2014-02-10,2.8643
2014-02-11,2.9034
2014-02-12,2.9415
2014-02-13,2.9053
2014-02-14,2.9078
2014-02-17,.
2014-02-18,2.8861
2014-02-19,2.9001
2014-02-20,2.9246
2014-02-21,2.9187
2014-02-24,2.9269
2014-02-25,2.8942
2014-02-26,2.8611
2014-02-27,2.8377
2014-02-28,2.8426
2014-03-03,2.8016
2014-03-04,2.8543
2014-03-05,2.8676
2014-03-06,2.9013
2014-03-07,2.9581
2014-03-10,2.9662
2014-03-11,2.9584
2014-03-12,2.9243
2014-03-13,2.8666
2014-03-14,2.8504
2014-03-17,2.8753
2014-03-18,2.8632
2014-03-19,2.9641
2014-03-20,2.9819
2014-03-21,2.9719
2014-03-24,2.9702
2014-03-25,2.9696
2014-03-26,2.9336
2014-03-27,2.9149
2014-03-28,2.9404
2014-03-31,2.9446
2014-04-01,2.9648
2014-04-02,3.0180
2014-04-03,3.0230
2014-04-04,2.9761
2014-04-07,2.9397
2014-04-08,2.9160
2014-04-09,2.9073
2014-04-10,2.8602
2014-04-11,2.8388
2014-04-14,2.8465
2014-04-15,2.8463
2014-04-16,2.8626
2014-04-17,2.9289
2014-04-18,.
2014-04-21,2.9417
2014-04-22,2.9505
2014-04-23,2.9300
2014-04-24,2.9298
2014-04-25,2.9179
2014-04-28,2.9231
2014-04-29,2.9261
2014-04-30,2.8956
2014-05-01,2.8577
2014-05-02,2.8404
2014-05-05,2.8443
